10475 3
6.982380896806716919e-02 2.562247216701507568e-01 -2.215562574565410614e-02
6.548596918582916260e-02 2.431920170783996582e-01 -1.111937570385634899e-03
6.839017570018768311e-02 2.434477359056472778e-01 -1.104650902561843395e-03
6.902305781841278076e-02 2.421364784240722656e-01 -2.106008585542440414e-03
6.609623134136199951e-02 2.415277957916259766e-01 -2.482709474861621857e-03
7.502204179763793945e-02 2.902239561080932617e-01 -1.522712968289852142e-02
7.742775976657867432e-02 2.895531356334686279e-01 -1.737989485263824463e-02
7.552614808082580566e-02 2.885838150978088379e-01 -1.658920757472515106e-02
7.393417507410049438e-02 2.889475524425506592e-01 -1.488215662539005280e-02
8.295212686061859131e-02 2.753293812274932861e-01 -3.007874265313148499e-02
8.205516636371612549e-02 2.821201086044311523e-01 -2.853819541633129120e-02
8.264134079217910767e-02 2.664124071598052979e-01 -2.414314262568950653e-02
8.253287523984909058e-02 2.663962244987487793e-01 -2.715571038424968719e-02
8.192180097103118896e-02 2.624701857566833496e-01 -2.553508803248405457e-02
-2.551865391433238983e-02 2.280521541833877563e-01 -6.859836727380752563e-02
-1.226179301738739014e-02 2.271027565002441406e-01 -7.335989922285079956e-02
-1.171723287552595139e-02 2.177585959434509277e-01 -6.989475339651107788e-02
-2.401435934007167816e-02 2.160170525312423706e-01 -6.461650133132934570e-02
8.211968839168548584e-02 2.625513970851898193e-01 -2.262700721621513367e-02
8.232728391885757446e-02 2.745021879673004150e-01 -2.453126758337020874e-02
8.247036486864089966e-02 2.743538320064544678e-01 -2.795229293406009674e-02
8.598823845386505127e-02 2.832777202129364014e-01 -3.021113201975822449e-02
8.602190017700195312e-02 2.771703600883483887e-01 -3.033555485308170319e-02
8.562111854553222656e-02 2.837570309638977051e-01 -3.114955499768257141e-02
7.382413744926452637e-02 2.863920032978057861e-01 -2.386809326708316803e-02
7.412880659103393555e-02 2.893663346767425537e-01 -2.810302190482616425e-02
7.325004041194915771e-02 2.828887403011322021e-01 -2.909978665411472321e-02
7.402531802654266357e-02 2.839869260787963867e-01 -2.497306466102600098e-02
6.882558017969131470e-02 2.591432034969329834e-01 -2.705930266529321671e-03
7.021579146385192871e-02 2.611479461193084717e-01 -4.004171583801507950e-03
6.900319457054138184e-02 2.588430047035217285e-01 -5.323604680597782135e-03
6.816518306732177734e-02 2.566938400268554688e-01 -4.805922042578458786e-03
7.172582298517227173e-02 2.532234191894531250e-01 -2.038265578448772430e-02
6.903466582298278809e-02 2.501628398895263672e-01 -1.791361905634403229e-02
6.950023770332336426e-02 2.497618645429611206e-01 -1.718424446880817413e-02
7.221555709838867188e-02 2.515783607959747314e-01 -1.887309551239013672e-02
7.981453835964202881e-02 2.906615436077117920e-01 -1.964776590466499329e-02
7.996267825365066528e-02 2.855069637298583984e-01 -2.015423029661178589e-02
7.833527028560638428e-02 2.855125665664672852e-01 -1.862164586782455444e-02
7.376337051391601562e-02 2.558618187904357910e-01 -1.007632352411746979e-02
7.454638928174972534e-02 2.570744454860687256e-01 -1.189504284411668777e-02
7.556466758251190186e-02 2.539427280426025391e-01 -1.358692906796932220e-02
7.474942505359649658e-02 2.520317733287811279e-01 -1.201702468097209930e-02
7.643817365169525146e-02 2.433661073446273804e-01 -1.475408952683210373e-02
7.409204542636871338e-02 2.430661171674728394e-01 -1.549438387155532837e-02
7.190592586994171143e-02 2.412822246551513672e-01 -1.226992066949605942e-02
7.432209700345993042e-02 2.411245256662368774e-01 -1.196979079395532608e-02
6.828357279300689697e-02 2.557593882083892822e-01 -4.112690687179565430e-03
6.834670901298522949e-02 2.566534876823425293e-01 -2.496462780982255936e-03
7.871726900339126587e-02 2.784102559089660645e-01 -2.951309084892272949e-02
7.780152559280395508e-02 2.844875752925872803e-01 -2.763812616467475891e-02
8.138868212699890137e-02 2.835217416286468506e-01 -2.463275194168090820e-02
8.156566321849822998e-02 2.810055613517761230e-01 -2.593749761581420898e-02
7.146643847227096558e-02 2.713331282138824463e-01 -8.562677539885044098e-03
6.901399046182632446e-02 2.718511521816253662e-01 -9.726692922413349152e-03
6.892345100641250610e-02 2.710544466972351074e-01 -9.692782536149024963e-03
7.201257348060607910e-02 2.697273194789886475e-01 -8.410353213548660278e-03
7.191698253154754639e-02 2.713108062744140625e-01 -7.256274577230215073e-03
7.238546758890151978e-02 2.697125077247619629e-01 -7.101080380380153656e-03
7.200730592012405396e-02 2.695670127868652344e-01 -5.919409450143575668e-03
7.166762650012969971e-02 2.704873979091644287e-01 -5.810428876429796219e-03
6.812223792076110840e-02 2.721512615680694580e-01 -1.017791405320167542e-02
6.842135637998580933e-02 2.718464732170104980e-01 -9.906079620122909546e-03
6.876995414495468140e-02 2.723796665668487549e-01 -1.020502205938100815e-02
7.245159149169921875e-02 2.747452855110168457e-01 -2.214050665497779846e-02
7.363916188478469849e-02 2.668354213237762451e-01 -2.360154129564762115e-02
7.197884470224380493e-02 2.666228711605072021e-01 -2.238440886139869690e-02
7.081049680709838867e-02 2.735837996006011963e-01 -2.078058570623397827e-02
8.314923942089080811e-02 2.674036920070648193e-01 -2.887751907110214233e-02
7.892008870840072632e-02 2.939803898334503174e-01 -1.153579819947481155e-02
7.744836062192916870e-02 2.961070239543914795e-01 -1.159578096121549606e-02
8.005934953689575195e-02 2.994109392166137695e-01 -1.602329500019550323e-02
6.924247741699218750e-02 2.580397129058837891e-01 -1.411970425397157669e-02
7.187883555889129639e-02 2.591715753078460693e-01 -1.144446711987257004e-02
7.046405225992202759e-02 2.589527368545532227e-01 -9.903915226459503174e-03
6.881991773843765259e-02 2.577867805957794189e-01 -1.244233548641204834e-02
6.846511363983154297e-02 2.628962397575378418e-01 -8.068521507084369659e-03
6.645488739013671875e-02 2.596614062786102295e-01 -7.203152868896722794e-03
7.062125951051712036e-02 2.613777816295623779e-01 -6.643316708505153656e-03
7.181705534458160400e-02 2.771993279457092285e-01 -7.362876553088426590e-03
7.031534612178802490e-02 2.734230458736419678e-01 -9.668068960309028625e-03
7.116851955652236938e-02 2.723369598388671875e-01 -8.353441022336483002e-03
7.159127295017242432e-02 2.727451026439666748e-01 -7.131602149456739426e-03
8.417112380266189575e-02 2.586772739887237549e-01 -2.756852097809314728e-02
8.557829260826110840e-02 2.637352347373962402e-01 -3.013303503394126892e-02
