10475 3
8.234246820211410522e-02 2.664126753807067871e-01 -2.011434175074100494e-02
8.339665085077285767e-02 2.669356167316436768e-01 -2.187988162040710449e-02
8.237158507108688354e-02 2.649060785770416260e-01 -1.974161900579929352e-02
8.723101019859313965e-02 3.016011416912078857e-01 -2.306921035051345825e-02
8.533561229705810547e-02 3.039711117744445801e-01 -1.843790896236896515e-02
8.625385910272598267e-02 3.035201728343963623e-01 -1.822119951248168945e-02
8.813062310218811035e-02 3.010341823101043701e-01 -2.292256802320480347e-02
7.932555675506591797e-02 2.887032926082611084e-01 -2.584178000688552856e-02
7.801143825054168701e-02 2.937526106834411621e-01 -2.418785914778709412e-02
7.702267169952392578e-02 2.931045591831207275e-01 -2.401971071958541870e-02
7.823848724365234375e-02 2.886568605899810791e-01 -2.559540607035160065e-02
8.758876472711563110e-02 2.980156838893890381e-01 -2.968544326722621918e-02
8.787417411804199219e-02 2.953080832958221436e-01 -3.061709739267826080e-02
8.615214377641677856e-02 2.942242622375488281e-01 -2.908486127853393555e-02
7.427503913640975952e-02 2.962324023246765137e-01 -1.178779546171426773e-02
7.504537701606750488e-02 2.971927225589752197e-01 -1.297412160784006119e-02
7.543995231389999390e-02 2.955346405506134033e-01 -1.343032158911228180e-02
7.502120733261108398e-02 2.942665219306945801e-01 -1.237807236611843109e-02
7.512250542640686035e-02 2.498614639043807983e-01 -7.657252252101898193e-03
6.899928301572799683e-02 2.604651749134063721e-01 -1.577513106167316437e-02
7.082605361938476562e-02 2.609915435314178467e-01 -1.732894405722618103e-02
7.362528890371322632e-02 2.649952471256256104e-01 -2.035212889313697815e-02
7.225003093481063843e-02 2.661133408546447754e-01 -2.074961736798286438e-02
6.827381253242492676e-02 2.528837323188781738e-01 8.838585927151143551e-04
7.127774506807327271e-02 2.531686723232269287e-01 9.624370140954852104e-04
7.196353375911712646e-02 2.519418001174926758e-01 -1.408396492479369044e-04
6.894328445196151733e-02 2.513332366943359375e-01 -5.747938994318246841e-04
7.744518667459487915e-02 3.006853461265563965e-01 -1.334052067250013351e-02
7.984876632690429688e-02 2.999855875968933105e-01 -1.556873135268688202e-02
7.789833843708038330e-02 2.990046441555023193e-01 -1.479944959282875061e-02
7.633446902036666870e-02 2.993964552879333496e-01 -1.301383692771196365e-02
8.583894371986389160e-02 2.857042551040649414e-01 -2.833694592118263245e-02
8.490772545337677002e-02 2.925587594509124756e-01 -2.671354264020919800e-02
8.550090342760086060e-02 2.765760421752929688e-01 -2.255712077021598816e-02
8.543296903371810913e-02 2.766178250312805176e-01 -2.552134916186332703e-02
8.480838686227798462e-02 2.725915908813476562e-01 -2.394342795014381409e-02
-2.686794474720954895e-02 2.376372069120407104e-01 -7.029295712709426880e-02
-1.271879673004150391e-02 2.369042336940765381e-01 -7.523516565561294556e-02
-1.255746092647314072e-02 2.275382727384567261e-01 -7.207513600587844849e-02
-2.575734071433544159e-02 2.256015688180923462e-01 -6.660041958093643188e-02
8.491910248994827271e-02 2.726429104804992676e-01 -2.107058838009834290e-02
8.521213382482528687e-02 2.848043739795684814e-01 -2.280280552804470062e-02
8.540572971105575562e-02 2.846819758415222168e-01 -2.620994672179222107e-02
8.887244760990142822e-02 2.937774956226348877e-01 -2.839474566280841827e-02
8.895633369684219360e-02 2.875628173351287842e-01 -2.857182174921035767e-02
8.846856653690338135e-02 2.942899167537689209e-01 -2.931375615298748016e-02
7.591222226619720459e-02 2.971075773239135742e-01 -2.200875803828239441e-02
7.608138769865036011e-02 3.001841008663177490e-01 -2.616954408586025238e-02
7.530402392148971558e-02 2.933935821056365967e-01 -2.750144153833389282e-02
7.613436877727508545e-02 2.945926189422607422e-01 -2.322774007916450500e-02
7.115565985441207886e-02 2.691005170345306396e-01 -6.955717690289020538e-04
7.247129082679748535e-02 2.711604237556457520e-01 -2.065386623144149780e-03
7.134889066219329834e-02 2.688412666320800781e-01 -3.439084626734256744e-03
7.055620849132537842e-02 2.667181491851806641e-01 -2.842637477442622185e-03
7.425411045551300049e-02 2.630732357501983643e-01 -1.896126940846443176e-02
7.156548649072647095e-02 2.599759697914123535e-01 -1.647387072443962097e-02
7.206872850656509399e-02 2.595261931419372559e-01 -1.571474038064479828e-02
7.480435818433761597e-02 2.614026069641113281e-01 -1.741453260183334351e-02
8.231148868799209595e-02 3.011538386344909668e-01 -1.775228418409824371e-02
8.243497461080551147e-02 2.959293425083160400e-01 -1.839459501206874847e-02
8.073211461305618286e-02 2.959435284137725830e-01 -1.691389456391334534e-02
7.645995169878005981e-02 2.657988965511322021e-01 -8.318086154758930206e-03
7.717817276716232300e-02 2.670485675334930420e-01 -1.020865887403488159e-02
7.828097790479660034e-02 2.638944685459136963e-01 -1.192351616919040680e-02
7.755708694458007812e-02 2.619559764862060547e-01 -1.026435103267431259e-02
7.933163642883300781e-02 2.533012628555297852e-01 -1.304568629711866379e-02
7.693061977624893188e-02 2.529997229576110840e-01 -1.376853324472904205e-02
7.472656667232513428e-02 2.511677443981170654e-01 -1.052786689251661301e-02
7.722883671522140503e-02 2.510414719581604004e-01 -1.020358316600322723e-02
7.072978466749191284e-02 2.657057940959930420e-01 -2.087291097268462181e-03
