  20670 10
  3.26480871e-04   8.66241506e-05  -1.01810047e-04   1.28294769e-04	  -6.93235187e-05  -3.69804017e-04   4.97091691e-04   4.67936471e-04	   1.69839751e-03  -3.23875580e-04
  1.73428170e-02   2.23920239e-03   5.99592431e-03   3.23107801e-03	   1.91282648e-03   1.08788918e-03   6.77581378e-04  -1.84134900e-03	  -1.78110814e-05   2.80334379e-05
  2.23529095e-03   3.38816117e-03   3.98104180e-04   4.09727060e-04	   4.09325584e-03  -2.51470319e-03  -5.15622531e-04   1.15871412e-03	   5.48851009e-04   7.90821043e-07
  3.79901370e-04  -1.87760914e-05  -1.66918705e-04   1.27014530e-04	  -5.54091349e-05  -3.69921515e-04   4.00039972e-04   3.37020764e-04	   1.73135149e-03  -2.50834420e-04
  1.71612553e-02   2.04175186e-03   6.00153482e-03   3.31163631e-03	   1.92839557e-03   1.07696565e-03   5.03300694e-04  -2.01000923e-03	  -1.22432831e-04   8.76300909e-05
  2.39017429e-03   3.85178095e-03   1.40727157e-04   4.17770478e-04	   4.30149361e-03  -2.55141699e-03  -5.28896336e-04   1.55741742e-03	   7.16798108e-04   7.85993086e-05
  5.42538911e-04   1.50843100e-05  -1.35308900e-04   1.97614582e-04	  -2.07742957e-05  -3.25222249e-04   4.06230667e-04   2.76655198e-04	   1.73254129e-03  -2.80432448e-04
  1.71301872e-02   2.05312242e-03   6.01904529e-03   3.30700570e-03	   1.86833491e-03   1.07446210e-03   5.58259374e-04  -2.01528903e-03	  -1.25622465e-04   7.33963651e-05
  2.34001962e-03   3.60078211e-03   2.55645349e-04   4.79932032e-04	   4.24269134e-03  -2.47653332e-03  -6.78072742e-04   1.22838045e-03	   6.83140307e-04   6.93797497e-05
  4.52913303e-04   4.41709004e-05  -1.27241186e-04   1.34993027e-04	  -2.64611890e-05  -3.62328015e-04   5.01822951e-04   4.50323041e-04	   1.74623567e-03  -3.09165076e-04
  1.72128778e-02   2.44058752e-03   5.96482954e-03   3.27018306e-03	   1.84230315e-03   1.09866954e-03   6.81076394e-04  -1.83781552e-03	  -6.15739410e-05  -2.96192725e-06
  2.19461315e-03   3.30267576e-03   4.48058420e-04   4.96546934e-04	   4.00832578e-03  -2.41826862e-03  -7.45004500e-04   9.04179664e-04	   4.99249978e-04   7.28368942e-05
  5.80650211e-04  -6.56061909e-05  -1.43781247e-04   2.26911844e-04	  -5.91527308e-05  -3.55485451e-04   3.04582787e-04   1.70074877e-04	   1.74935103e-03  -2.66299726e-04
 0.0170081   0.00186047  0.00606091  0.00339957  0.00188035  0.00106	  0.00046059 -0.00218673 -0.00022154  0.00010748
  2.47095163e-03   3.93167419e-03   1.15436805e-04   5.32251422e-04	   4.37682299e-03  -2.48977922e-03  -6.93034939e-04   1.46222714e-03	   8.09942548e-04   4.76200911e-05
  4.30433602e-04   9.58119723e-05  -1.62046359e-04   1.58419833e-04	  -8.42364092e-05  -3.30031053e-04   3.09947620e-04   2.09477423e-04	   1.74041077e-03  -2.83696772e-04
  1.70303038e-02   1.82727682e-03   6.07356671e-03   3.43885148e-03	   1.92705361e-03   1.04841353e-03   4.29931266e-04  -2.21857330e-03	  -2.35168118e-04   9.68274505e-05
  2.54467256e-03   4.22982154e-03   4.15552863e-05   4.90069943e-04	   4.43961103e-03  -2.53249223e-03  -5.67912148e-04   1.77173889e-03	   8.95125603e-04  -5.28266663e-06
  7.46669952e-04  -2.87990740e-04  -5.96953346e-05   1.92254295e-04	  -6.40256797e-05  -3.67616546e-04   3.27012307e-04   2.18597911e-04	   1.70841301e-03  -3.18783950e-04
  1.70121625e-02   2.12962149e-03   5.97315870e-03   3.28765375e-03	   1.82780327e-03   1.06868204e-03   5.71292339e-04  -1.98844893e-03	  -1.21406379e-04   6.31635938e-05
  2.22303017e-03   3.60161376e-03   2.75209736e-04   5.15790120e-04	   4.17605958e-03  -2.37989241e-03  -8.72500412e-04   1.00976909e-03	   6.04026165e-04   6.59854867e-05
  5.35878890e-04  -4.81859986e-05  -6.07318257e-05   1.81527587e-04	  -1.22217894e-05  -3.84593193e-04   4.01682260e-04   4.41214979e-04	   1.74001925e-03  -3.81304064e-04
  1.70129758e-02   2.43328344e-03   5.86513395e-03   3.25002062e-03	   1.79203241e-03   1.10868111e-03   5.95431696e-04  -1.81285074e-03	  -5.72596907e-05   1.81303440e-05
  2.01751901e-03   3.46259200e-03   4.44696021e-04   5.46929180e-04	   3.98339679e-03  -2.34869972e-03  -9.30032565e-04   7.67549782e-04	   4.04567908e-04   5.71828569e-05
  8.20740195e-04  -6.55644893e-04  -2.93719624e-05   3.50280519e-04	  -1.85967343e-04  -4.63368060e-04   2.96545248e-04   1.40769960e-04	   1.72268729e-03  -3.47581505e-04
  1.63662059e-02   2.19018278e-03   5.98494292e-03   3.32575172e-03	   1.72528702e-03   1.10172400e-03   4.79314522e-04  -2.05176049e-03	  -2.43357780e-04   7.62123169e-05
  1.91905113e-03   4.18477073e-03   5.26559188e-06   6.54910679e-04	   4.22821418e-03  -2.28335900e-03  -1.02933934e-03   1.08443494e-03	   5.94933863e-04   7.63691668e-05
  9.01272570e-04  -7.37790980e-04  -2.87704891e-05   3.53589725e-04	  -2.40990802e-04  -4.58658975e-04   2.21582571e-04   1.10744812e-04	   1.72378642e-03  -3.85867479e-04
  1.62698964e-02   2.33852019e-03   5.94959955e-03   3.26409011e-03	   1.70459245e-03   1.08316251e-03   5.50455256e-04  -1.87727584e-03	  -2.10226554e-04   3.94589125e-05
  1.84942302e-03   4.16909675e-03   3.91417122e-05   6.35489165e-04	   4.08919251e-03  -2.23070901e-03  -1.14388883e-03   9.00101399e-04	   5.06583407e-04   4.56609488e-05
  8.62197802e-04  -6.57384486e-04  -3.23965598e-05   3.47402358e-04	  -2.09192806e-04  -4.64891640e-04   2.77909764e-04   1.61605941e-04	   1.74790375e-03  -3.26684828e-04
  1.64228368e-02   2.29003635e-03   5.91837421e-03   3.25512043e-03	   1.73204625e-03   1.07670645e-03   5.27196075e-04  -1.88654722e-03	  -1.60871292e-04   5.14854735e-05
  1.77297872e-03   4.18333096e-03   5.07795132e-05   6.25237742e-04	   4.09270054e-03  -2.25477057e-03  -1.10181544e-03   8.85097331e-04	   5.42944451e-04   8.43913177e-05
  7.34815442e-04  -4.80655884e-04  -4.97258657e-05   3.29503809e-04	  -1.37494136e-04  -4.54110516e-04   3.47750147e-04   2.04023382e-04	   1.73780942e-03  -3.19540270e-04
  1.64942397e-02   2.21245070e-03   5.96666474e-03   3.33774414e-03	   1.76612201e-03   1.09583112e-03   4.95168374e-04  -2.01857408e-03	  -2.15572747e-04   7.99336612e-05
  1.87491922e-03   4.25410451e-03   1.57796516e-05   6.26471876e-04	   4.25472486e-03  -2.30283981e-03  -9.62175425e-04   1.12339473e-03	   6.32854804e-04   8.40150854e-05
  8.66745832e-04  -1.14254698e-03  -2.12224431e-05   3.03129438e-04	  -2.52947642e-04  -5.00381772e-04   2.62411513e-04   1.42367341e-04	   1.67987254e-03  -3.98890754e-04
  1.59681043e-02   2.45358611e-03   5.98366525e-03   3.24899261e-03	   1.67390223e-03   1.08949681e-03   5.56925563e-04  -2.03513252e-03	  -3.31888169e-04  -9.59032630e-06
  1.96445628e-03   4.28630766e-03  -7.45348349e-05   6.32624553e-04	   4.12162361e-03  -2.23408777e-03  -1.09444447e-03   1.00858004e-03	   4.56998460e-04   1.05972997e-05
  8.57088830e-04  -1.11010141e-03  -8.10028050e-06   2.48083836e-04	  -2.11295589e-04  -5.11545902e-04   2.92648757e-04   1.55631439e-04	   1.66457549e-03  -3.50751597e-04
  1.58138623e-02   2.36513803e-03   6.01374398e-03   3.26530104e-03	   1.66769870e-03   1.05839919e-03   4.85626727e-04  -2.15947184e-03	  -4.22289082e-04  -4.74349012e-05
  2.06693652e-03   4.13033896e-03  -1.45057025e-04   5.93561150e-04	   4.21026470e-03  -2.37560120e-03  -1.06265430e-03   1.21675985e-03	   4.65447757e-04   4.82685887e-06
  8.29090033e-04  -1.25521123e-03   9.15988642e-05   3.14768396e-04	  -2.71450536e-04  -5.15402818e-04   1.66940505e-04   1.86156232e-04	   1.67440375e-03  -3.53818934e-04
  1.55370171e-02   2.55656797e-03   5.93366977e-03   3.24606474e-03	   1.65302765e-03   1.06104432e-03   5.94443777e-04  -2.03941271e-03	  -3.77193760e-04  -7.74275863e-05
  1.95509870e-03   4.23069170e-03  -1.04660117e-04   6.18304254e-04	   4.08107059e-03  -2.28621825e-03  -1.14267544e-03   1.09676114e-03	   3.93542853e-04  -1.89508223e-05
  8.04349761e-04  -9.46968979e-04   9.46489470e-06   3.74585691e-04	  -2.04556207e-04  -4.90091088e-04   1.75336956e-04   2.49973247e-04	   1.67475044e-03  -4.21937651e-04
  1.57219675e-02   2.75533517e-03   5.92542166e-03   3.25073919e-03	   1.62412824e-03   1.14931015e-03   5.96592451e-04  -1.99233272e-03	  -3.23278980e-04  -3.08353674e-05
  1.86923032e-03   4.48373906e-03  -6.28094323e-05   6.38246888e-04	   4.03748094e-03  -2.14939939e-03  -1.15519602e-03   9.36280428e-04	   3.80342838e-04  -1.36359193e-05
 0.00033338 -0.00059405 -0.0001902   0.00011413 -0.00026053 -0.00039676	  0.00017682 -0.00020285  0.00156547 -0.00025695
  1.62680878e-02   1.64826155e-03   6.25521988e-03   3.42561496e-03	   1.76221248e-03   9.74490132e-04   1.63736180e-04  -2.56913570e-03	  -6.37826098e-04  -1.85548267e-05
  2.45329803e-03   3.83259870e-03  -1.78303065e-04   5.12117749e-04	   4.65563876e-03  -2.67329974e-03  -8.16645245e-04   1.65194224e-03	   6.66538348e-04   5.26965666e-05
  4.05406434e-04  -6.05158062e-04  -1.67428544e-04   1.31173328e-04	  -2.17380753e-04  -4.25193799e-04   2.20887813e-04  -8.72993735e-05	   1.60179582e-03  -2.66169594e-04
