10475 3
7.842332869768142700e-02 3.080749511718750000e-01 -1.405641715973615646e-02
7.802707701921463013e-02 3.068199455738067627e-01 -1.293889898806810379e-02
7.861486077308654785e-02 2.616792917251586914e-01 -8.188502863049507141e-03
7.207176834344863892e-02 2.722165584564208984e-01 -1.686655916273593903e-02
7.392677664756774902e-02 2.728104889392852783e-01 -1.842152327299118042e-02
7.675810158252716064e-02 2.768667340278625488e-01 -2.142329886555671692e-02
7.535826414823532104e-02 2.779817283153533936e-01 -2.180084213614463806e-02
7.160657644271850586e-02 2.645184397697448730e-01 5.725236842408776283e-04
7.466935366392135620e-02 2.648501396179199219e-01 6.875948747619986534e-04
7.546375691890716553e-02 2.636918723583221436e-01 -4.786515783052891493e-04
7.234439998865127563e-02 2.630110681056976318e-01 -9.497898281551897526e-04
8.050547540187835693e-02 3.131775856018066406e-01 -1.391292456537485123e-02
8.288921415805816650e-02 3.125099539756774902e-01 -1.614545658230781555e-02
8.088728040456771851e-02 3.115456104278564453e-01 -1.541484799236059189e-02
7.935664802789688110e-02 3.119025230407714844e-01 -1.361382566392421722e-02
8.937696367502212524e-02 2.981897294521331787e-01 -2.906950563192367554e-02
8.830044418573379517e-02 3.050812482833862305e-01 -2.738663926720619202e-02
8.894560486078262329e-02 2.890094518661499023e-01 -2.330799400806427002e-02
8.895496279001235962e-02 2.890718579292297363e-01 -2.627930603921413422e-02
8.828653395175933838e-02 2.849945127964019775e-01 -2.473606541752815247e-02
-2.828377299010753632e-02 2.488740533590316772e-01 -7.463067770004272461e-02
-1.323070004582405090e-02 2.480320781469345093e-01 -8.004730939865112305e-02
-1.350116822868585587e-02 2.385879456996917725e-01 -7.752195745706558228e-02
-2.796323597431182861e-02 2.366786748170852661e-01 -7.163669168949127197e-02
8.825111389160156250e-02 2.850148379802703857e-01 -2.188874594867229462e-02
8.872626721858978271e-02 2.972302436828613281e-01 -2.351845242083072662e-02
8.898416161537170410e-02 2.971286475658416748e-01 -2.694614604115486145e-02
9.237857162952423096e-02 3.062746226787567139e-01 -2.905628457665443420e-02
9.256995469331741333e-02 3.000083565711975098e-01 -2.930273115634918213e-02
9.191502630710601807e-02 3.068277239799499512e-01 -2.994418144226074219e-02
7.847695797681808472e-02 3.097151517868041992e-01 -2.261362597346305847e-02
7.839755713939666748e-02 3.128078579902648926e-01 -2.672879397869110107e-02
7.768487185239791870e-02 3.058874309062957764e-01 -2.830743230879306793e-02
7.873144000768661499e-02 3.070609867572784424e-01 -2.398439310491085052e-02
7.392309606075286865e-02 2.814260423183441162e-01 -9.973627747967839241e-04
7.517165690660476685e-02 2.835791110992431641e-01 -2.425437094643712044e-03
7.409562915563583374e-02 2.812353670597076416e-01 -3.853570204228162766e-03
7.338242977857589722e-02 2.789496183395385742e-01 -3.237672150135040283e-03
7.742472738027572632e-02 2.749300003051757812e-01 -2.001528441905975342e-02
7.470479607582092285e-02 2.717588543891906738e-01 -1.751413382589817047e-02
7.524581253528594971e-02 2.713024616241455078e-01 -1.670093461871147156e-02
7.795510441064834595e-02 2.732577621936798096e-01 -1.845176145434379578e-02
8.537510037422180176e-02 3.136801123619079590e-01 -1.828829012811183929e-02
8.550204336643218994e-02 3.084532022476196289e-01 -1.902431063354015350e-02
8.374937623739242554e-02 3.084734082221984863e-01 -1.757540740072727203e-02
7.963915169239044189e-02 2.778806388378143311e-01 -8.983073756098747253e-03
8.024340122938156128e-02 2.791581153869628906e-01 -1.096282340586185455e-02
8.147598057985305786e-02 2.760415077209472656e-01 -1.270711328834295273e-02
8.094381541013717651e-02 2.740688621997833252e-01 -1.090924534946680069e-02
8.272606879472732544e-02 2.653584182262420654e-01 -1.375936344265937805e-02
8.030050247907638550e-02 2.650478184223175049e-01 -1.446270663291215897e-02
7.810777425765991211e-02 2.630676925182342529e-01 -1.117527671158313751e-02
8.067605644464492798e-02 2.630106806755065918e-01 -1.084411144256591797e-02
7.365934550762176514e-02 2.778130769729614258e-01 -2.414648188278079033e-03
7.351826131343841553e-02 2.787834405899047852e-01 -7.041300414130091667e-04
8.425663411617279053e-02 3.012752830982208252e-01 -2.867255359888076782e-02
8.326640725135803223e-02 3.075222969055175781e-01 -2.657338418066501617e-02
8.738148212432861328e-02 3.064430654048919678e-01 -2.345283329486846924e-02
8.782054483890533447e-02 3.038782477378845215e-01 -2.481339313089847565e-02
7.617540657520294189e-02 2.941040396690368652e-01 -7.114432286471128464e-03
7.372274994850158691e-02 2.946109175682067871e-01 -8.378542959690093994e-03
7.367332279682159424e-02 2.937590181827545166e-01 -8.343331515789031982e-03
7.674117386341094971e-02 2.924473881721496582e-01 -6.935244426131248474e-03
7.663474977016448975e-02 2.940824627876281738e-01 -5.673180334270000458e-03
7.711775600910186768e-02 2.924207448959350586e-01 -5.533879622817039490e-03
7.676056027412414551e-02 2.922605276107788086e-01 -4.324970766901969910e-03
7.642970234155654907e-02 2.931915521621704102e-01 -4.179878160357475281e-03
7.286854833364486694e-02 2.948328256607055664e-01 -8.890634402632713318e-03
7.316981256008148193e-02 2.945456206798553467e-01 -8.581541478633880615e-03
7.348255068063735962e-02 2.951194643974304199e-01 -8.916192688047885895e-03
7.754133641719818115e-02 2.976393997669219971e-01 -2.142181433737277985e-02
7.886604219675064087e-02 2.895772159099578857e-01 -2.282585762441158295e-02
7.680454850196838379e-02 2.894038558006286621e-01 -2.183130383491516113e-02
7.546372711658477783e-02 2.964707016944885254e-01 -2.023008465766906738e-02
8.962193131446838379e-02 2.901150882244110107e-01 -2.795881219208240509e-02
8.419784158468246460e-02 3.175520896911621094e-01 -9.350950829684734344e-03
8.254209905862808228e-02 3.197747766971588135e-01 -9.384907782077789307e-03
8.528406172990798950e-02 3.230831921100616455e-01 -1.389775052666664124e-02
7.444475591182708740e-02 2.803719341754913330e-01 -1.315580774098634720e-02
7.732691615819931030e-02 2.813522815704345703e-01 -1.031355280429124832e-02
7.587810605764389038e-02 2.811675369739532471e-01 -8.684070780873298645e-03
7.408698648214340210e-02 2.801004350185394287e-01 -1.134289614856243134e-02
7.345607131719589233e-02 2.854007482528686523e-01 -6.743289064615964890e-03
7.155808806419372559e-02 2.820857763290405273e-01 -5.864051636308431625e-03
7.560368627309799194e-02 2.838666141033172607e-01 -5.193442571908235550e-03
7.637874037027359009e-02 3.002504110336303711e-01 -5.655827000737190247e-03
7.495073229074478149e-02 2.962985336780548096e-01 -8.284436538815498352e-03
7.585915178060531616e-02 2.951661944389343262e-01 -6.834180559962987900e-03
7.627047598361968994e-02 2.956132888793945312e-01 -5.476653575897216797e-03
9.059376269578933716e-02 2.810987830162048340e-01 -2.679546922445297241e-02
9.208789467811584473e-02 2.863159775733947754e-01 -2.937228605151176453e-02
9.038451313972473145e-02 2.860911786556243896e-01 -3.087915852665901184e-02
8.897557109594345093e-02 2.805311381816864014e-01 -2.820210345089435577e-02
7.228500396013259888e-02 2.682698667049407959e-01 2.126593608409166336e-03
6.933555006980895996e-02 2.654321789741516113e-01 -8.939475519582629204e-04
7.155138254165649414e-02 2.714373171329498291e-01 2.795921638607978821e-03
9.357818216085433960e-02 3.184089362621307373e-01 -2.581272460520267487e-02
9.010294824838638306e-02 3.206987380981445312e-01 -2.625446021556854248e-02
9.054303914308547974e-02 3.184525966644287109e-01 -2.870335243642330170e-02
9.413009881973266602e-02 3.162768185138702393e-01 -2.811232767999172211e-02
7.365789264440536499e-02 3.012970089912414551e-01 -1.465681567788124084e-02
7.374442368745803833e-02 2.992438375949859619e-01 -1.409306190907955170e-02
7.405352592468261719e-02 3.007237911224365234e-01 -1.275309454649686813e-02
7.384630292654037476e-02 3.026578128337860107e-01 -1.306399237364530563e-02
5.353493243455886841e-02 2.634152173995971680e-01 -5.705201625823974609e-02
6.331902742385864258e-02 2.642568349838256836e-01 -3.820993751287460327e-02
6.655424833297729492e-02 2.774274349212646484e-01 -4.673156514763832092e-02
5.922745168209075928e-02 2.758151292800903320e-01 -6.274462491273880005e-02
8.369415253400802612e-02 2.682052254676818848e-01 -1.325473841279745102e-02
8.279860019683837891e-02 2.661336958408355713e-01 -1.052384357899427414e-02
7.776522636413574219e-02 3.080384433269500732e-01 -4.614468198269605637e-03
7.713486254215240479e-02 3.100872337818145752e-01 -3.178076818585395813e-03
7.820595800876617432e-02 3.155992031097412109e-01 -4.848155658692121506e-03
7.895705103874206543e-02 3.121745288372039795e-01 -4.963013343513011932e-03
9.180466830730438232e-02 3.016133606433868408e-01 -3.464413061738014221e-02
9.467403590679168701e-02 3.008992075920104980e-01 -3.306179866194725037e-02
7.995876669883728027e-02 3.137110173702239990e-01 -1.228093542158603668e-02
8.348780125379562378e-02 3.170549869537353516e-01 -1.549762859940528870e-02
8.137086033821105957e-02 3.146058320999145508e-01 -1.442397851496934891e-02
7.961697876453399658e-02 3.131690025329589844e-01 -1.258508767932653427e-02
7.918062806129455566e-02 3.053254187107086182e-01 -9.965931996703147888e-03
7.988335937261581421e-02 3.066320419311523438e-01 -9.639321826398372650e-03
7.813347876071929932e-02 3.075352907180786133e-01 -9.884556755423545837e-03
7.709865272045135498e-02 3.061293959617614746e-01 -1.002872548997402191e-02
7.659906893968582153e-02 3.150818943977355957e-01 -2.026203321292996407e-03
7.818395644426345825e-02 3.199695050716400146e-01 -5.562092177569866180e-03
7.026492804288864136e-02 2.717958986759185791e-01 -1.617778278887271881e-02
7.933732122182846069e-02 3.068302571773529053e-01 -7.206836249679327011e-03
8.026968687772750854e-02 3.094631731510162354e-01 -6.844459101557731628e-03
8.081759512424468994e-02 3.082789778709411621e-01 -9.360487572848796844e-03
-4.808381572365760803e-02 2.137279659509658813e-01 -5.024971440434455872e-02
-4.336073622107505798e-02 2.213435620069503784e-01 -5.662083625793457031e-02
-4.184653237462043762e-02 2.107563912868499756e-01 -5.967448651790618896e-02
-5.112469568848609924e-02 2.058739215135574341e-01 -4.724117368459701538e-02
7.216864079236984253e-02 2.766417264938354492e-01 3.261264879256486893e-03
7.297547906637191772e-02 2.783837914466857910e-01 1.000369549728929996e-03
7.888703793287277222e-02 3.122625350952148438e-01 -1.239456329494714737e-02
7.813452184200286865e-02 3.110505640506744385e-01 -1.233925670385360718e-02
7.665564119815826416e-02 3.072682619094848633e-01 -1.141323614865541458e-02
7.720921933650970459e-02 3.052391409873962402e-01 -1.281513646245002747e-02
8.389876037836074829e-02 2.984022498130798340e-01 -1.991968788206577301e-02
8.583041280508041382e-02 2.898096740245819092e-01 -2.131372876465320587e-02
6.992155313491821289e-02 2.787907123565673828e-01 -3.222863376140594482e-02
6.662703305482864380e-02 2.649217247962951660e-01 -1.695484481751918793e-02
7.699693739414215088e-02 3.078749179840087891e-01 -1.011853013187646866e-02
7.694413512945175171e-02 3.082331717014312744e-01 -1.037845760583877563e-02
7.614554464817047119e-02 3.072813749313354492e-01 -1.074863225221633911e-02
7.609882205724716187e-02 3.067509233951568604e-01 -1.036413852125406265e-02
8.164005726575851440e-02 2.644418776035308838e-01 -8.006183430552482605e-03
8.241243660449981689e-02 3.049195408821105957e-01 -1.761756651103496552e-02
7.933420687913894653e-02 3.030619025230407715e-01 -1.556741818785667419e-02
8.000660687685012817e-02 3.053144514560699463e-01 -1.490269694477319717e-02
9.239279478788375854e-02 2.917550206184387207e-01 -2.802852727472782135e-02
9.361113607883453369e-02 2.998459339141845703e-01 -2.908280678093433380e-02
9.501407295465469360e-02 3.002095818519592285e-01 -3.072572126984596252e-02
9.364559501409530640e-02 2.915855050086975098e-01 -2.935043908655643463e-02
6.996850669384002686e-02 2.639492750167846680e-01 -2.334973309189081192e-03
7.375867664813995361e-02 2.984526157379150391e-01 -1.497151516377925873e-02
7.501448690891265869e-02 2.968274950981140137e-01 -1.415931154042482376e-02
7.474218308925628662e-02 3.039561808109283447e-01 -1.332209352403879166e-02
7.504346966743469238e-02 3.056018948554992676e-01 -1.142880320549011230e-02
7.321103662252426147e-02 2.814874947071075439e-01 1.299112220294773579e-03
8.990420401096343994e-02 3.147742450237274170e-01 -2.746783196926116943e-02
9.048165380954742432e-02 3.128396570682525635e-01 -2.892546169459819794e-02
8.833844959735870361e-02 3.134509623050689697e-01 -2.605445124208927155e-02
8.800695836544036865e-02 3.147003948688507080e-01 -2.444142661988735199e-02
8.720371127128601074e-02 3.164637982845306396e-01 -2.136837691068649292e-02
8.728925138711929321e-02 3.179886043071746826e-01 -2.095956541597843170e-02
8.909083902835845947e-02 3.165116012096405029e-01 -2.546892501413822174e-02
7.810466736555099487e-02 3.041045367717742920e-01 -1.411015633493661880e-02
7.902409881353378296e-02 3.058193624019622803e-01 -1.374779827892780304e-02
7.921148836612701416e-02 2.766537070274353027e-01 -7.492389995604753494e-03
8.007936179637908936e-02 2.707123756408691406e-01 -8.122430182993412018e-03
8.703663200139999390e-02 2.815673351287841797e-01 -2.238246798515319824e-02
8.677268028259277344e-02 2.823162376880645752e-01 -1.952071301639080048e-02
8.762200921773910522e-02 2.919549345970153809e-01 -3.182827681303024292e-02
8.745577186346054077e-02 3.012907803058624268e-01 -3.273655846714973450e-02
8.586417883634567261e-02 3.011378645896911621e-01 -3.051381930708885193e-02
8.637735247611999512e-02 2.922533750534057617e-01 -3.037230484187602997e-02
8.006924390792846680e-02 2.946995496749877930e-01 -2.719778940081596375e-02
7.653572410345077515e-02 2.955698668956756592e-01 -2.697432786226272583e-02
7.598609477281570435e-02 2.943048179149627686e-01 -3.679528133943676949e-03
7.529810816049575806e-02 2.983116507530212402e-01 -1.735261874273419380e-03
7.428036630153656006e-02 3.032945990562438965e-01 -1.329363416880369186e-02
7.463342696428298950e-02 3.049636185169219971e-01 -1.150390971451997757e-02
8.156443387269973755e-02 2.774758040904998779e-01 -2.265120856463909149e-02
7.752908021211624146e-02 2.705089449882507324e-01 -1.489914767444133759e-02
8.165028691291809082e-02 2.754338383674621582e-01 -2.067860588431358337e-02
7.341118901968002319e-02 2.698137760162353516e-01 -1.280662976205348969e-02
7.310739159584045410e-02 2.689623534679412842e-01 -1.038635056465864182e-02
7.566697895526885986e-02 2.689082622528076172e-01 -1.204292662441730499e-02
8.358324319124221802e-02 2.782113254070281982e-01 -1.650835387408733368e-02
8.545962721109390259e-02 2.793158590793609619e-01 -1.929330267012119293e-02
7.246030122041702271e-02 2.945801913738250732e-01 -9.475241415202617645e-03
7.091762870550155640e-02 2.930094003677368164e-01 -1.065047178417444229e-02
7.150007784366607666e-02 2.942827343940734863e-01 -8.944046683609485626e-03
8.720438182353973389e-02 2.976191639900207520e-01 -2.135019376873970032e-02
8.808910101652145386e-02 2.894568145275115967e-01 -2.164816483855247498e-02
7.967321574687957764e-02 3.088614642620086670e-01 -1.001994125545024872e-02
7.749795168638229370e-02 2.988965809345245361e-01 -1.024863403290510178e-02
7.845646142959594727e-02 3.024583458900451660e-01 -8.351983502507209778e-03
8.311801403760910034e-02 3.122681677341461182e-01 -9.574436582624912262e-03
8.139538764953613281e-02 3.106068670749664307e-01 -1.027600467205047607e-02
8.071393519639968872e-02 3.096979260444641113e-01 -1.006292551755905151e-02
8.183918148279190063e-02 3.101975321769714355e-01 -9.153869934380054474e-03
6.565199792385101318e-02 2.849345207214355469e-01 -9.081232361495494843e-03
6.897138804197311401e-02 2.832816541194915771e-01 -7.542168255895376205e-03
7.053301483392715454e-02 2.864490151405334473e-01 -7.458158303052186966e-03
8.629006892442703247e-02 3.176653385162353516e-01 -1.924528740346431732e-02
8.668293803930282593e-02 3.155839443206787109e-01 -2.039908617734909058e-02
8.473089337348937988e-02 3.081615269184112549e-01 -2.844962477684020996e-02
7.891125977039337158e-02 3.099405467510223389e-01 -1.462981384247541428e-02
7.936404645442962646e-02 3.084014058113098145e-01 -1.551301684230566025e-02
8.029593527317047119e-02 3.217613995075225830e-01 -2.124754898250102997e-02
7.979083061218261719e-02 3.198731839656829834e-01 -1.774516701698303223e-02
7.984117418527603149e-02 3.202058970928192139e-01 -1.641110144555568695e-02
8.052865415811538696e-02 3.244349658489227295e-01 -1.661659218370914459e-02
7.235881686210632324e-02 2.664072811603546143e-01 -7.096548099070787430e-03
7.501674443483352661e-02 2.667074799537658691e-01 -9.871723130345344543e-03
7.481545209884643555e-02 2.678617537021636963e-01 -1.036779955029487610e-02
7.279675453901290894e-02 2.677517533302307129e-01 -8.394482545554637909e-03
7.520004361867904663e-02 2.808436155319213867e-01 -7.978631183505058289e-03
7.387885451316833496e-02 2.799130976200103760e-01 -1.028855983167886734e-02
8.825746178627014160e-02 2.826967239379882812e-01 -2.515353076159954071e-02
8.749611675739288330e-02 2.819304466247558594e-01 -2.411041967570781708e-02
8.875727653503417969e-02 2.858735620975494385e-01 -2.636432461440563202e-02
8.971515297889709473e-02 2.870774865150451660e-01 -2.724629268050193787e-02
7.474895566701889038e-02 3.019953072071075439e-01 -1.717706210911273956e-02
7.399476319551467896e-02 3.008997142314910889e-01 -1.681249961256980896e-02
8.019133657217025757e-02 3.138481676578521729e-01 -1.891805790364742279e-02
8.249292522668838501e-02 3.161356449127197266e-01 -2.036662027239799500e-02
8.141066879034042358e-02 3.191133439540863037e-01 -1.683320663869380951e-02
7.974505424499511719e-02 3.170462250709533691e-01 -1.662400178611278534e-02
8.630525320768356323e-02 3.088637888431549072e-01 -3.072316944599151611e-02
7.940902560949325562e-02 3.069686293601989746e-01 -1.509450376033782959e-02
8.006507158279418945e-02 3.071010708808898926e-01 -1.622422598302364349e-02
7.895722985267639160e-02 3.074142634868621826e-01 -1.458122674375772476e-02
7.639564573764801025e-02 3.052097558975219727e-01 -1.027793902903795242e-02
7.844867557287216187e-02 3.041051924228668213e-01 -1.050778198987245560e-02
8.250905573368072510e-02 3.123952746391296387e-01 -1.116483192890882492e-02
8.618056029081344604e-02 3.158460557460784912e-01 -1.443163212388753891e-02
8.523978292942047119e-02 3.158734440803527832e-01 -1.469662413001060486e-02
8.193962275981903076e-02 3.131209611892700195e-01 -1.152744516730308533e-02
7.740916311740875244e-02 3.097464740276336670e-01 -1.124915853142738342e-02
1.500646304339170456e-02 2.576614916324615479e-01 -8.679638057947158813e-02
1.701514236629009247e-02 2.670291960239410400e-01 -9.369726479053497314e-02
-3.957218676805496216e-02 3.522108495235443115e-01 7.864310592412948608e-02
-4.705911502242088318e-02 3.504331111907958984e-01 7.302036881446838379e-02
-4.570121690630912781e-02 3.443010449409484863e-01 7.684545218944549561e-02
-3.850762173533439636e-02 3.453341424465179443e-01 8.131629973649978638e-02
8.043443411588668823e-02 3.198548257350921631e-01 -9.205936454236507416e-03
8.122398704290390015e-02 3.214169740676879883e-01 -1.323056966066360474e-02
8.232107013463973999e-02 3.222704827785491943e-01 -1.369582861661911011e-02
8.101764321327209473e-02 3.206126391887664795e-01 -1.022328063845634460e-02
8.773514628410339355e-02 3.135108947753906250e-01 -2.388126403093338013e-02
9.166895598173141479e-02 3.094613254070281982e-01 -2.906649373471736908e-02
7.612119615077972412e-02 2.953619658946990967e-01 -1.243260037153959274e-02
7.290642708539962769e-02 2.923825085163116455e-01 -1.224788278341293335e-02
6.283678859472274780e-02 2.911103963851928711e-01 -1.080646086484193802e-02
6.320548802614212036e-02 2.923177480697631836e-01 -1.081437617540359497e-02
6.371911615133285522e-02 2.918961644172668457e-01 -1.205094344913959503e-02
6.336132436990737915e-02 2.905846536159515381e-01 -1.226724032312631607e-02
6.633062660694122314e-02 2.858935892581939697e-01 -1.265544164925813675e-02
6.914624571800231934e-02 2.848646938800811768e-01 -1.131398323923349380e-02
6.840144842863082886e-02 2.829550802707672119e-01 -9.833635762333869934e-03
6.566718220710754395e-02 2.837539911270141602e-01 -1.192525494843721390e-02
